Name,Value
APP_tcUnavailableReason,@invalid
APTRIAL_force_available,false
APTRIAL_force_overnight,false
APTRIAL_force_purchase,false
AUDIO_activeProcessingMux,@invalid
AUDIO_alertChimePeriodMs,@invalid
AUDIO_alertChimeVolume,@invalid
AUDIO_ampVersion,@invalid
AUDIO_audioSource,@invalid
AUDIO_balance,@invalid
AUDIO_chimeAdjustEnabled,@invalid
AUDIO_chimeAdjustGlobalOffset,@invalid
AUDIO_configurationType,@invalid
AUDIO_dolbyAvailable,@invalid
AUDIO_dolbyPermittedForRadio,@invalid
AUDIO_dolbyProLogicIIxPermitted,@invalid
AUDIO_dspState,@invalid
AUDIO_dynamicsRecovery,@invalid
AUDIO_entertainmentMute,@invalid
AUDIO_entertainmentVolume,@invalid
AUDIO_eqGainChanged,@invalid
AUDIO_externalSpeakerGain,@invalid
AUDIO_fade,@invalid
AUDIO_glassBreakConfidence,@invalid
AUDIO_immersiveEffect,@invalid
AUDIO_inputLevel0,@invalid
AUDIO_inputLevel1,@invalid
AUDIO_inputLevel10,@invalid
AUDIO_inputLevel11,@invalid
AUDIO_inputLevel12,@invalid
AUDIO_inputLevel13,@invalid
AUDIO_inputLevel14,@invalid
AUDIO_inputLevel15,@invalid
AUDIO_inputLevel2,@invalid
AUDIO_inputLevel3,@invalid
AUDIO_inputLevel4,@invalid
AUDIO_inputLevel5,@invalid
AUDIO_inputLevel6,@invalid
AUDIO_inputLevel7,@invalid
AUDIO_inputLevel8,@invalid
AUDIO_inputLevel9,@invalid
AUDIO_levelsChanged,@invalid
AUDIO_lockChimePeriodMs,@invalid
AUDIO_lockChimeVolume,@invalid
AUDIO_masterMute,@invalid
AUDIO_microphoneRecording,@invalid
AUDIO_mixerGainEntertainment,@invalid
AUDIO_mixerGainMedia1,@invalid
AUDIO_mixerGainMedia2,@invalid
AUDIO_navigationVolume,@invalid
AUDIO_navigationZones,@invalid
AUDIO_outputLevel0,@invalid
AUDIO_outputLevel1,@invalid
AUDIO_outputLevel10,@invalid
AUDIO_outputLevel11,@invalid
AUDIO_outputLevel12,@invalid
AUDIO_outputLevel2,@invalid
AUDIO_outputLevel3,@invalid
AUDIO_outputLevel4,@invalid
AUDIO_outputLevel5,@invalid
AUDIO_outputLevel6,@invalid
AUDIO_outputLevel7,@invalid
AUDIO_outputLevel8,@invalid
AUDIO_outputLevel9,@invalid
AUDIO_phoneRXMute,@invalid
AUDIO_phoneRXVolume,@invalid
AUDIO_processingMux,@invalid
AUDIO_pwsGain,@invalid
AUDIO_safetyMuteEnabled,@invalid
AUDIO_speedEffect,@invalid
AUDIO_tunerMute,@invalid
AUDIO_turnSignalPeriodMs,@invalid
AUDIO_turnSignalVolume,@invalid
AUDIO_version,@invalid
AUDIO_volumeMux,@invalid
BC_trailerDetected,@invalid
BLUETOOTH_A2DPSourceId,0
BLUETOOTH_A2DPSourceName,@invalid
BLUETOOTH_A2DPState,Disconnected
BLUETOOTH_HFPState,Disconnected
BLUETOOTH_RSSI,-1
BLUETOOTH_address,4cfcaa014518
BLUETOOTH_antennaConnected,@invalid
BLUETOOTH_autoconnectActive,false
BLUETOOTH_checkPairingResults,0
BLUETOOTH_connectedDeviceId,0
BLUETOOTH_connectionsChanged,0
BLUETOOTH_enabled,false
BLUETOOTH_forgetDeviceOperationCounter,0
BLUETOOTH_forgottenDeviceId,0
BLUETOOTH_inquiryEnded,true
BLUETOOTH_inquiryResults,
BLUETOOTH_lastPairedId,0
BLUETOOTH_messagesProfileStatus,NOT_SUPPORTED
BLUETOOTH_outgoingMessagesSupported,false
BLUETOOTH_pairedDeviceInfo,AAAAAA==
BLUETOOTH_pairedDeviceInfoString,
BLUETOOTH_pairingPin,@invalid
BLUETOOTH_pairingResults,Failed1
BLUETOOTH_phoneError,None
BLUETOOTH_phoneMake,
BLUETOOTH_phoneModel,
BLUETOOTH_phoneSignalLevel,0
BLUETOOTH_phoneVRStatus,Undefined
BLUETOOTH_phoneVersion,
BLUETOOTH_serviceMode,0
BLUETOOTH_serviceState,Initialized
BLUETOOTH_startedServices,0
BLUETOOTH_supportedServices,0
BLUETOOTH_version,v01.03.11
BMS_beginningOfLifePackEnergy,@invalid
BMS_chargePowerAvailable,@invalid
BMS_debugDisable,false
BMS_debugEnable,false
BMS_energyBuffer,@invalid
BMS_expectedEnergyRemaining,@invalid
BMS_idealEnergyRemaining,@invalid
BMS_minPackTemperature,@invalid
BMS_nominalEnergyRemaining,@invalid
BMS_nominalFullPackEnergyRemaining,@invalid
BTPhoneErrChanged,0
CAPI_keepAliveReason,modem-reset
CAPI_keepAliveRequest,@invalid
CAPI_remoteAutopark,Off
CAPI_remoteAutopilotConnected,false
CAPI_remoteClosureRequest,None
CAPI_remoteHeartbeat,0
CAPI_remotePreconditionCabinRequest,Off
CAPI_remoteSocketConnected,false
CAPI_remoteWebRTCConnected,false
CAPI_smartSummonType,PinDrop
CAPI_smartSummonUserStepCount,0
CAPI_summonDeviceName,
CAPI_summonDevicePublicKey,
CAPI_summonDevicePublicKeySHA1,
CAPI_summonGoalLocation,@invalid
CAPI_summonGoalOrientation,0.000
CARSERVER_connNetStats,@invalid
CARSERVER_connVideoNetUsage,0x0
CARSERVER_connVideoNetUsageResetMonth,7
CD_displayState,0
CHADA_currentRequest,@invalid
CHADA_evseConnectorTemp,@invalid
CHADA_evseCurrentAvailable,@invalid
CHADA_evseProtocolVersion,@invalid
CHADA_flybackVoltage,@invalid
CHADA_pcbaTemp,@invalid
CHADA_state,@invalid
CHADA_vehicleConnectorTemp,@invalid
CHADA_vehicleProtocolVersion,@invalid
CONN_antennaCell,@invalid
CONN_antennaCell2,@invalid
CONN_antennaGPS,@invalid
CONN_cellAPN,@invalid
CONN_cellActive,@invalid
CONN_cellAppVersion,@invalid
CONN_cellBand,@invalid
CONN_cellBandwidth,@invalid
CONN_cellBootVersion,@invalid
CONN_cellCapabilities,@invalid
CONN_cellChannel,@invalid
CONN_cellConnected,false
CONN_cellDialAttempts,0
CONN_cellEMMState,@invalid
CONN_cellEid,@invalid
CONN_cellErrorCode,@invalid
CONN_cellGMMState,@invalid
CONN_cellGPRSState,@invalid
CONN_cellGeneralIndicator,@invalid
CONN_cellIMEI,3523670860523106
CONN_cellInterfaceIP,@invalid
CONN_cellInternetCheckFailed,0
CONN_cellLimitedService,@invalid
CONN_cellLocalTime,@invalid
CONN_cellMMState,@invalid
CONN_cellMode,@invalid
CONN_cellModel,@invalid
CONN_cellModemIP,@invalid
CONN_cellModemRecoveryResets,0
CONN_cellNetwork,@invalid
CONN_cellOperator,@invalid
CONN_cellPSState,@invalid
CONN_cellPhoneNumber,@invalid
CONN_cellReceivePower,@invalid
CONN_cellRoamingDisallowed,false
CONN_cellRoamingPolicyVer,5
CONN_cellSMSCounter,@invalid
CONN_cellSearch,@invalid
CONN_cellSignalBars,@invalid
CONN_cellSignalStrength,@invalid
CONN_cellSimNumber,@invalid
CONN_cellSimSelection,@invalid
CONN_cellSystemMode,@invalid
CONN_cellTimeZone,TESLA+8
CONN_cellUTCTime,@invalid
CONN_connectedToInternet,false
CONN_gwMonitorModemPower,@invalid
CONN_modemCommandResponse,@invalid
CONN_modemConfig,@invalid
CONN_modemResetLoopDetected,1
CONN_registrationStatus,@invalid
CONN_removableSimMissing,false
CONN_searchTimerExpiry,0
CONN_version,1.1
CONN_vpnConnected,false
CONN_vpnInterfaceIP,@invalid
CONN_wifiActive,true
CONN_wifiConnected,false
CONN_wifiInterfaceIP,@invalid
CONN_wifiInternetCheckFailed,0
CONN_wifiOnlineCheckFailed,0
CONN_wifiRecoveryReset,0
DASHCAM_driveRemoved,false
DASMapDbg_CSASource,@invalid
DASMapDbg_adasAppDebugTrigger,0
DASMapDbg_autoParkAvailability,@invalid
DASMapDbg_controlPointHeading,0.000
DASMapDbg_controlPointLat,0.000
DASMapDbg_controlPointLon,0.000
DASMapDbg_csaCurvHealth,@invalid
DASMapDbg_csaCurvMapFitRoadDistance,@invalid
DASMapDbg_csaCurvPolyC2,@invalid
DASMapDbg_curvatureHealth,@invalid
DASMapDbg_curvatureMapFitRoadDistance,@invalid
DASMapDbg_curvatureTrigger,0
DASMapDbg_fleetSpeed,0.000
DASMapDbg_geometrySource,@invalid
DASMapDbg_gpsHeading,0.000
DASMapDbg_gpsLat,0.000
DASMapDbg_gpsLon,0.000
DASMapDbg_hmmSplineProbability,0.000
DASMapDbg_integratedGpsHeading,0.000
DASMapDbg_integratedGpsLat,0.000
DASMapDbg_integratedGpsLon,0.000
DASMapDbg_metaDataSource,@invalid
DASMapDbg_metersSuppressingSpeedRestriction,0.000
DASMapDbg_offrampCurvMapFitRoadDistance,@invalid
DASMapDbg_offrampCurvPolyC2,@invalid
DASMapDbg_pedalMisapplicationMitigationAvailability,@invalid
DASMapDbg_radarBrakingEnabled,false
DASMapDbg_ramp_type,@invalid
DASMapDbg_tileCenterTileVersion,@invalid
DASMapDbg_tileCenterTileVersionPlusSchema,@invalid
DASMapDbg_tileCurrentHash,@invalid
DASMapDbg_tileDistanceFromSpline,0.000
DASMapDbg_tileNearestSpline,0
DASMapDbg_tileSplineT,0.000
DASMapDbg_tileSplineWidth,0.000
DASMapDbg_tileTrust,0.000
DASMapDbg_trustRadarMap,false
DASMapDbg_tunnel,false
DASUI_capture,@invalid
DASUI_drivableSpace,false
DASUI_grid,@invalid
DASUI_occupancy,@invalid
DASUI_scale,3000.000
DASUI_scale2,3000.000
DASUI_topDown,@invalid
DASUI_visualizeCityStreetsString,false
DASUI_visualizeControllerString,false
DASUI_visualizeDriveOnNavString,false
DASUI_visualizeMapString,false
DASUI_visualizePlannerString,false
DASUI_visualizeStateMachineString,false
DASUI_visualizeVisionString,false
DAS_ACC_report,@invalid
DAS_accSpeedLimit,@invalid
DAS_accState,@invalid
DAS_autoEmergencyBraking,@invalid
DAS_autoLaneChangeState,@invalid
DAS_autoparkReady,@invalid
DAS_autopilotAbortReason,@invalid
DAS_autopilotActivationFailure,@invalid
DAS_autopilotHandsOnState,@invalid
DAS_autopilotState,@invalid
DAS_autosteerBottsDotsUsage,@invalid
DAS_autosteerHPPUsage,@invalid
DAS_autosteerHealthAnomalyLevel,@invalid
DAS_autosteerHealthState,@invalid
DAS_autosteerMIA,@invalid
DAS_autosteerModelUsage,@invalid
DAS_autosteerNavigationUsage,@invalid
DAS_autosteerVehiclesUsage,@invalid
DAS_behaviorReport,@invalid
DAS_behaviorType,@invalid
DAS_blindSpotRearLeft,@invalid
DAS_blindSpotRearRight,@invalid
DAS_clipRecordingStatus,@invalid
DAS_constructionZone,@invalid
DAS_controlDistance,@invalid
DAS_controllerHealth,@invalid
DAS_controllerRef,@invalid
DAS_cruiseCutInVehicleDistance,@invalid
DAS_cruiseCutInVehicleID,@invalid
DAS_cruiseCutInVehicleLatPosition,@invalid
DAS_cruiseCutInVehicleRelVelocity,@invalid
DAS_cruiseCutInVehicleRelevantForControl,@invalid
DAS_cruiseCutInVehicleType,@invalid
DAS_cruiseHold,@invalid
DAS_cruiseLeadVehicle2Distance,@invalid
DAS_cruiseLeadVehicle2ID,@invalid
DAS_cruiseLeadVehicle2LatPosition,@invalid
DAS_cruiseLeadVehicle2RelVelocity,@invalid
DAS_cruiseLeadVehicle2RelevantForControl,@invalid
DAS_cruiseLeadVehicle2Type,@invalid
DAS_cruiseLeadVehicleDistance,@invalid
DAS_cruiseLeadVehicleID,@invalid
DAS_cruiseLeadVehicleLatPosition,@invalid
